8539546	13106834	3
364438	441377	0
9597889	21319238	3
18731109	23273706	3
17147420	21933390	2
693636	22328849	3
714205	801168	0
4518934	17456565	1
411630	14555517	3
15894276	16209101	1
761561	849718	1
487413	946511	0
13940142	16972103	3
6168445	22262998	1
90593	23555994	2
8612647	15571542	1
16082064	16944401	3
20654481	21907869	2
6597127	13935756	3
831650	18623182	1
4798330	4798332	1
13783898	16224018	1
253307	271941	2
1458629	6814854	1
15035227	19549579	3
302513	7872667	3
9530015	20841292	3
16993715	23053699	2
4471000	5785861	2
183041	205710	1
5244020	15292162	3
9088422	19912847	0
4471001	17456565	1
53656	775735	0
2031752	11291099	2
1189509	22966751	3
250596	367770	1
638963	689689	0
16410666	21348951	2
234582	858381	0
10472751	19144041	2
13536693	15416857	2
771802	5856886	0
16713229	23066956	3
8355906	13203031	2
150478	4441118	3
367771	6061402	1
65493	801887	0
13516684	23241194	3
2711645	16351775	1
6589981	20440214	1
789019	820622	0
65492	224086	0
21824901	22427840	2
17497944	19842959	3
370546	489465	0
290430	468947	0
6138230	7436917	1
12098748	17551409	3
1751009	7468718	3
6061403	14183083	1
523070	727183	0
6191498	9240872	2
19544469	21803552	2
38361	12614306	3
227072	351290	0
8793825	22246375	1
6244937	8917652	3
20601754	21057438	3
2090333	11818436	3
3792872	9609392	3
9693856	19142737	1
8793826	19142736	1
4164833	16058262	3
10851	601908	0
8568973	12923083	3
9792904	22262998	1
12934	694023	0
193053	714206	0
479786	20130103	2
367771	2711644	1
3985047	13784783	3
4202903	18721146	2
13657103	15208967	3
616260	19544469	2
762814	11023588	2
11453370	12194043	1
6359501	12955229	2
17585720	21195765	3
6061402	6244937	1
322775	341478	0
18828006	20103172	2
4612220	5875194	3
653371	9696025	3
9261777	16005062	3
57899	337052	2
5086587	17981986	2
3286240	22919892	2
14923488	15057561	2
2461169	22993367	1
37335	193628	0
8778961	18269745	1
631362	748154	0
10620258	16972108	2
165906	238319	0
7187036	7525367	2
6814855	8625347	0
13940356	15982225	2
631362	801169	0
1158840	13490964	2
689532	694024	0
13339653	22221713	3
202241	241850	0
672106	689689	0
8595492	14618576	3
494838	749585	0
12606395	16076390	1
1458629	8778961	1
274159	945607	0
7981642	11592707	2
7760	739813	0
649595	17014629	2
16388708	18269744	1
647224	12214889	2
246146	365846	3
29167	608222	0
12614306	16466519	1
19934218	20603864	1
615133	631025	0
9516458	12962189	2
659091	14310068	3
2245320	7760800	3
1424647	6031248	1
10252057	20169230	2
11548511	16388707	1
2402	469061	0
460892	861011	0
9088423	11319479	1
9103010	13612487	3
9104988	23021618	3
43996	102963	0
4471924	8157327	3
6729311	15972030	1
2310752	9693856	3
1050422	3635291	0
2746	298517	0
3998244	22307323	2
14823836	16167361	3
1048178	1675482	3
3768629	15571541	1
367770	2461168	0
111978	853457	0
8106130	12247514	3
19483244	21113767	2
935	365214	0
367770	22993368	1
13902981	22246374	1
93208	653541	0
8385785	17808515	1
14183084	14317425	1
278439	776780	0
245664	946510	0
811157	22135198	2
18623182	19584878	1
10545755	20019830	2
250595	11377441	3
662799	23299439	2
165907	230246	0
2461168	22246375	1
748153	843063	0
8793825	15571542	1
28333	245664	0
23114339	23114340	1
19436818	23383764	2
1458629	16224017	1
250596	831649	1
18471152	22810500	1
10318446	14776145	3
6424937	10846739	2
149935	569269	0
16085417	22653720	3
783855	920875	0
353583	778875	3
2033319	8504294	2
13450574	13952259	3
1896707	3136082	2
6814855	20444225	2
615902	680174	0
91501	280232	0
3608108	4224228	1
15402323	18820148	2
1213123	15844120	2
9568958	15972030	1
10042671	21540552	1
367771	948486	1
569269	892621	0
3087100	3517430	1
12523607	17253878	3
469341	843064	0
881515	5857173	2
9568958	23465746	1
189963	536614	0
11548510	16351776	1
19267604	20292404	0
17751467	17886809	2
21489105	23021618	3
19147296	19147300	1
12614305	16224018	1
1136066	1142010	1
1008331	21161120	3
154176	216276	1
1421557	13902981	1
3740984	6633988	3
137780	7499186	2
1624010	23512890	3
5066508	13435154	2
147668	314561	0
97592	97594	1
13862568	15958994	2
342725	881515	1
1789231	8853764	2
259442	745910	0
4471001	19142736	1
17815062	21827619	1
7760801	9693856	1
329149	15548515	3
10195648	23677115	3
3318214	5807569	2
14188181	14311145	3
7011143	17175167	2
2241423	3108765	1
334117	631361	0
98309	4147990	3
3768629	21870536	1
15102950	18446898	1
8068393	12512647	3
254723	431770	0
624490	792644	0
241850	863587	0
2432640	11997195	2
597134	841724	0
12614306	18731109	1
181830	511030	3
16351775	18623183	1
1889366	22431492	2
16545678	19631892	2
1838870	9186568	3
20251960	23283258	3
8778961	19584878	1
156659	241043	0
7499186	12048549	3
2235797	16242345	2
11032546	19442138	2
2461168	2532321	0
9040190	18985881	2
2109483	9385030	2
47337	10840966	2
19351863	23088840	3
238319	605828	0
10337386	19722336	3
5826730	17832320	2
1152892	2401258	2
488614	636711	0
5893532	10151252	0
18828006	18828007	1
1630148	11259738	3
183328	260126	0
9722633	18880060	3
11319479	12678588	0
9693856	12678589	1
11032545	14432775	2
136576	289775	0
6659731	17158020	3
97596	154179	0
79841	81852	1
701471	1215899	2
257201	6697724	3
16075438	17321013	2
17456566	19912847	1
3352341	3375722	3
8434525	11221463	2
4284518	5701319	0
2424638	2897046	3
762814	4336715	2
6061402	16388708	1
27126	131721	2
2638907	22975613	2
5260867	23591287	2
13748907	19809975	2
12614306	13028546	1
5803773	11627943	2
4852691	15087907	1
11548511	14864066	2
13783899	16388707	1
1142010	2920425	1
7132185	19142736	0
8696200	21090886	2
699718	21985466	3
155209	323284	0
97595	216273	1
17474862	19663005	2
15599609	16755605	3
264493	901348	0
14386499	14849002	1
68956	172116	0
19142737	21488868	1
3501324	15162110	0
281237	351290	0
7901579	19142736	3
506382	22948678	2
4482782	9353181	3
222638	306235	3
9766481	20870396	3
14588787	23525479	2
12229175	13665830	3
4542694	14168494	2
6729311	22312282	0
17930257	20860648	3
250596	2461168	1
1155033	2201136	2
290075	430347	0
4100610	15468308	2
6190355	21946945	3
9514	374149	0
13028546	18935118	2
6966398	10916692	3
45091	365480	0
15607448	16157869	3
968369	1797128	2
2687958	20735941	2
17420328	17815062	1
12172485	15571541	1
9088423	16351775	1
2402	652690	0
170091	352847	3
228925	15193222	3
10789070	17467778	3
16082064	23066956	3
353067	695350	0
213301	810724	0
80860	913382	0
2461169	3768628	1
670011	6914912	2
211061	10207808	3
2062674	15998751	1
6013590	6966398	3
15297119	20395172	2
7303337	8330065	2
147992	681078	0
12172484	14183084	1
2532321	4623013	1
3024987	19950034	2
482330	952242	0
12384825	18845281	3
189963	339301	0
11259738	17578282	3
7518607	8209783	3
11273886	18299290	2
18292115	18599251	2
14992324	17729564	3
6906419	7794666	3
6814854	19584878	1
12678588	16224018	1
15117391	16413923	2
7286006	20836129	3
411630	13028547	1
11066056	17899418	3
13945476	13945477	1
223631	288978	0
6146146	10174077	2
694024	718537	0
16063556	22142748	2
4223265	16209101	1
2461168	22993368	1
16359182	20967084	2
14843583	16556717	2
128736	305472	0
4623013	12678588	1
2150993	14395189	3
